Province,Occupation,Year,_1st_quatile,_2nd_quatile,_3rd_quatile,_4th_quatile,Total
Newfoundland and Labrador,2281 - Computer network technicians,2022,0,0,0,0,0
Newfoundland and Labrador,2282 - User support technicians,2022,0,0,0,3,3
Newfoundland and Labrador,2283 - Information systems testing technicians,2022,0,0,0,0,0
Newfoundland and Labrador,2171 - Information systems analysts and consultants,2023,3,0,0,0,3
Newfoundland and Labrador,2172 - Database analysts and data administrators,2023,3,0,0,0,3
Newfoundland and Labrador,2173 - Software engineers and designers,2023,3,0,3,0,3
Newfoundland and Labrador,2174 - Computer programmers and interactive media developers,2023,0,3,3,0,3
Newfoundland and Labrador,2175 - Web designers and developers,2023,0,0,0,0,0
Newfoundland and Labrador,2281 - Computer network technicians,2023,0,0,0,0,0
Newfoundland and Labrador,2282 - User support technicians,2023,0,0,0,0,0
Newfoundland and Labrador,2283 - Information systems testing technicians,2023,0,0,0,0,0
Newfoundland and Labrador,2171 - Information systems analysts and consultants,2024,0,0,0,0,0
Newfoundland and Labrador,2172 - Database analysts and data administrators,2024,3,0,3,0,3
Newfoundland and Labrador,2173 - Software engineers and designers,2024,0,0,0,0,0
Newfoundland and Labrador,2174 - Computer programmers and interactive media developers,2024,3,0,0,0,3
Newfoundland and Labrador,2175 - Web designers and developers,2024,0,0,3,3,3
Newfoundland and Labrador,2281 - Computer network technicians,2024,0,0,0,0,0
Newfoundland and Labrador,2282 - User support technicians,2024,0,0,3,0,3
Newfoundland and Labrador,2283 - Information systems testing technicians,2024,0,0,0,0,0
Prince Edward Island ,2171 - Information systems analysts and consultants,2018,0,3,0,0,3
Prince Edward Island ,2172 - Database analysts and data administrators,2018,0,0,0,0,0
Prince Edward Island ,2173 - Software engineers and designers,2018,0,0,0,0,0
Prince Edward Island ,2174 - Computer programmers and interactive media developers,2018,3,3,3,3,5
Prince Edward Island ,2175 - Web designers and developers,2018,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2281 - Computer network technicians,2018,0,0,3,0,3
Prince Edward Island ,2282 - User support technicians,2018,3,3,0,3,3
Prince Edward Island ,2283 - Information systems testing technicians,2018,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2171 - Information systems analysts and consultants,2019,3,0,3,0,3
Prince Edward Island ,2172 - Database analysts and data administrators,2019,0,3,0,0,3
Prince Edward Island ,2173 - Software engineers and designers,2019,3,0,0,3,3
Prince Edward Island ,2174 - Computer programmers and interactive media developers,2019,0,0,3,3,3
Prince Edward Island ,2175 - Web designers and developers,2019,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2281 - Computer network technicians,2019,0,3,0,0,3
Prince Edward Island ,2282 - User support technicians,2019,3,3,0,5,5
Prince Edward Island ,2283 - Information systems testing technicians,2019,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2171 - Information systems analysts and consultants,2020,0,0,0,0,0
Prince Edward Island ,2172 - Database analysts and data administrators,2020,3,0,0,0,3
Prince Edward Island ,2173 - Software engineers and designers,2020,0,0,0,3,3
Prince Edward Island ,2174 - Computer programmers and interactive media developers,2020,0,0,0,0,0
Prince Edward Island ,2175 - Web designers and developers,2020,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2281 - Computer network technicians,2020,3,0,0,0,3
Prince Edward Island ,2282 - User support technicians,2020,0,3,0,3,3
Prince Edward Island ,2283 - Information systems testing technicians,2020,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2171 - Information systems analysts and consultants,2021,3,0,3,3,3
Prince Edward Island ,2172 - Database analysts and data administrators,2021,0,0,0,0,0
Prince Edward Island ,2173 - Software engineers and designers,2021,0,3,0,0,3
Prince Edward Island ,2174 - Computer programmers and interactive media developers,2021,0,0,0,0,0
Prince Edward Island ,2175 - Web designers and developers,2021,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2281 - Computer network technicians,2021,3,0,0,0,3
Prince Edward Island ,2282 - User support technicians,2021,3,0,0,0,3
Prince Edward Island ,2283 - Information systems testing technicians,2021,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2171 - Information systems analysts and consultants,2022,3,0,0,3,3
Prince Edward Island ,2172 - Database analysts and data administrators,2022,0,0,3,0,3
Prince Edward Island ,2173 - Software engineers and designers,2022,3,0,3,0,3
Prince Edward Island ,2174 - Computer programmers and interactive media developers,2022,0,3,3,3,3
Prince Edward Island ,2175 - Web designers and developers,2022,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2281 - Computer network technicians,2022,0,0,0,0,0
Prince Edward Island ,2282 - User support technicians,2022,0,3,0,3,3
Prince Edward Island ,2283 - Information systems testing technicians,2022,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2171 - Information systems analysts and consultants,2023,0,0,0,0,0
Prince Edward Island ,2172 - Database analysts and data administrators,2023,3,0,3,3,3
Prince Edward Island ,2173 - Software engineers and designers,2023,3,3,0,3,3
Prince Edward Island ,2174 - Computer programmers and interactive media developers,2023,0,0,3,0,3
Prince Edward Island ,2175 - Web designers and developers,2023,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2281 - Computer network technicians,2023,0,0,0,0,0
Prince Edward Island ,2282 - User support technicians,2023,0,0,0,0,0
Prince Edward Island ,2283 - Information systems testing technicians,2023,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2171 - Information systems analysts and consultants,2024,0,3,3,0,3
Prince Edward Island ,2172 - Database analysts and data administrators,2024,3,0,3,0,3
Prince Edward Island ,2173 - Software engineers and designers,2024,3,0,0,0,3
Prince Edward Island ,2174 - Computer programmers and interactive media developers,2024,0,0,0,3,3
Prince Edward Island ,2175 - Web designers and developers,2024,Nan,Nan,Nan,Nan,Nan
Prince Edward Island ,2281 - Computer network technicians,2024,0,0,0,0,0
Prince Edward Island ,2282 - User support technicians,2024,0,0,0,0,0
Prince Edward Island ,2283 - Information systems testing technicians,2024,Nan,Nan,Nan,Nan,Nan
Nova Scotia ,2171 - Information systems analysts and consultants,2018,10,15,15,10,50
Nova Scotia ,2172 - Database analysts and data administrators,2018,3,0,3,0,3
Nova Scotia ,2173 - Software engineers and designers,2018,5,5,5,5,25
Nova Scotia ,2174 - Computer programmers and interactive media developers,2018,10,5,3,5,25
Nova Scotia ,2175 - Web designers and developers,2018,3,0,3,0,3
Nova Scotia ,2281 - Computer network technicians,2018,0,0,3,0,3
Nova Scotia ,2282 - User support technicians,2018,0,3,0,3,3
Nova Scotia ,2283 - Information systems testing technicians,2018,0,3,3,0,5
Nova Scotia ,2171 - Information systems analysts and consultants,2019,10,20,10,10,55
Nova Scotia ,2172 - Database analysts and data administrators,2019,3,0,3,3,5
Nova Scotia ,2173 - Software engineers and designers,2019,15,10,10,5,35
Nova Scotia ,2174 - Computer programmers and interactive media developers,2019,3,5,5,5,25
Nova Scotia ,2175 - Web designers and developers,2019,0,3,3,0,3
Nova Scotia ,2281 - Computer network technicians,2019,0,3,0,3,3
Nova Scotia ,2282 - User support technicians,2019,3,3,3,0,3
Nova Scotia ,2283 - Information systems testing technicians,2019,3,0,3,3,3
Nova Scotia ,2171 - Information systems analysts and consultants,2020,10,3,3,15,30
Nova Scotia ,2172 - Database analysts and data administrators,2020,3,0,3,3,3
Nova Scotia ,2173 - Software engineers and designers,2020,10,3,3,5,15
Nova Scotia ,2174 - Computer programmers and interactive media developers,2020,10,10,5,3,25
Nova Scotia ,2175 - Web designers and developers,2020,3,0,0,3,3
Nova Scotia ,2281 - Computer network technicians,2020,3,0,3,3,5
Nova Scotia ,2282 - User support technicians,2020,3,0,0,0,3
Nova Scotia ,2283 - Information systems testing technicians,2020,3,3,3,0,3
Nova Scotia ,2171 - Information systems analysts and consultants,2021,5,10,3,5,25
Nova Scotia ,2172 - Database analysts and data administrators,2021,3,0,3,0,3
Nova Scotia ,2173 - Software engineers and designers,2021,10,10,5,3,30
Nova Scotia ,2174 - Computer programmers and interactive media developers,2021,5,5,10,5,25
Nova Scotia ,2175 - Web designers and developers,2021,0,3,3,0,3
Nova Scotia ,2281 - Computer network technicians,2021,0,3,0,3,3
Nova Scotia ,2282 - User support technicians,2021,3,3,0,3,5
Nova Scotia ,2283 - Information systems testing technicians,2021,3,0,0,3,3
Nova Scotia ,2171 - Information systems analysts and consultants,2022,10,15,30,35,85
Nova Scotia ,2172 - Database analysts and data administrators,2022,0,3,5,5,10
Nova Scotia ,2173 - Software engineers and designers,2022,3,10,30,75,115
Nova Scotia ,2174 - Computer programmers and interactive media developers,2022,10,45,210,315,580
Nova Scotia ,2175 - Web designers and developers,2022,0,3,0,3,5
Nova Scotia ,2281 - Computer network technicians,2022,3,0,0,3,3
Nova Scotia ,2282 - User support technicians,2022,3,0,3,3,3
Nova Scotia ,2283 - Information systems testing technicians,2022,0,0,0,3,3
Nova Scotia ,2171 - Information systems analysts and consultants,2023,35,60,40,35,170
Nova Scotia ,2172 - Database analysts and data administrators,2023,3,20,15,15,55
Nova Scotia ,2173 - Software engineers and designers,2023,50,55,55,40,190
Nova Scotia ,2174 - Computer programmers and interactive media developers,2023,140,185,110,75,505
Nova Scotia ,2175 - Web designers and developers,2023,3,3,3,3,5
Nova Scotia ,2281 - Computer network technicians,2023,0,3,3,0,3
Nova Scotia ,2282 - User support technicians,2023,0,5,3,3,10
Nova Scotia ,2283 - Information systems testing technicians,2023,3,0,3,0,3
Nova Scotia ,2171 - Information systems analysts and consultants,2024,45,25,25,10,105
Nova Scotia ,2172 - Database analysts and data administrators,2024,10,10,5,3,30
Nova Scotia ,2173 - Software engineers and designers,2024,35,35,10,10,85
Nova Scotia ,2174 - Computer programmers and interactive media developers,2024,75,45,40,15,175
Nova Scotia ,2175 - Web designers and developers,2024,3,3,3,0,5
Nova Scotia ,2281 - Computer network technicians,2024,0,3,0,0,3
Nova Scotia ,2282 - User support technicians,2024,3,10,15,10,35
Nova Scotia ,2283 - Information systems testing technicians,2024,0,3,3,0,3
New Brunswick ,2171 - Information systems analysts and consultants,2018,10,10,10,3,35
New Brunswick ,2172 - Database analysts and data administrators,2018,3,3,0,0,3
New Brunswick ,2173 - Software engineers and designers,2018,3,3,10,3,15
New Brunswick ,2174 - Computer programmers and interactive media developers,2018,3,3,3,5,15
New Brunswick ,2175 - Web designers and developers,2018,0,3,0,0,3
New Brunswick ,2281 - Computer network technicians,2018,3,3,0,0,3
New Brunswick ,2282 - User support technicians,2018,0,3,3,3,3
New Brunswick ,2283 - Information systems testing technicians,2018,0,3,3,3,5
New Brunswick ,2171 - Information systems analysts and consultants,2019,15,5,15,5,40
New Brunswick ,2172 - Database analysts and data administrators,2019,0,0,0,3,3
New Brunswick ,2173 - Software engineers and designers,2019,3,10,30,10,45
New Brunswick ,2174 - Computer programmers and interactive media developers,2019,3,5,3,5,20
New Brunswick ,2175 - Web designers and developers,2019,3,0,0,0,3
New Brunswick ,2281 - Computer network technicians,2019,3,3,3,0,3
New Brunswick ,2282 - User support technicians,2019,3,0,3,0,3
New Brunswick ,2283 - Information systems testing technicians,2019,3,0,0,3,3
New Brunswick ,2171 - Information systems analysts and consultants,2020,5,3,3,3,15
New Brunswick ,2172 - Database analysts and data administrators,2020,0,0,0,0,0
New Brunswick ,2173 - Software engineers and designers,2020,10,25,10,5,45
New Brunswick ,2174 - Computer programmers and interactive media developers,2020,5,3,3,3,10
New Brunswick ,2175 - Web designers and developers,2020,0,3,0,0,3
New Brunswick ,2281 - Computer network technicians,2020,3,3,0,3,3
New Brunswick ,2282 - User support technicians,2020,3,0,3,3,3
New Brunswick ,2283 - Information systems testing technicians,2020,0,3,3,0,3
New Brunswick ,2171 - Information systems analysts and consultants,2021,3,3,3,5,15
New Brunswick ,2172 - Database analysts and data administrators,2021,3,0,3,3,3
New Brunswick ,2173 - Software engineers and designers,2021,3,5,10,10,25
New Brunswick ,2174 - Computer programmers and interactive media developers,2021,3,3,3,3,5
New Brunswick ,2175 - Web designers and developers,2021,0,3,0,3,3
New Brunswick ,2281 - Computer network technicians,2021,3,3,0,3,3
New Brunswick ,2282 - User support technicians,2021,3,0,0,0,3
New Brunswick ,2283 - Information systems testing technicians,2021,3,3,3,3,5
New Brunswick ,2171 - Information systems analysts and consultants,2022,10,3,10,10,25
New Brunswick ,2172 - Database analysts and data administrators,2022,3,3,3,3,5
New Brunswick ,2173 - Software engineers and designers,2022,3,3,5,3,15
New Brunswick ,2174 - Computer programmers and interactive media developers,2022,5,3,3,3,10
New Brunswick ,2175 - Web designers and developers,2022,0,0,3,0,3
New Brunswick ,2281 - Computer network technicians,2022,0,3,3,0,3
New Brunswick ,2282 - User support technicians,2022,3,0,0,0,3
New Brunswick ,2283 - Information systems testing technicians,2022,0,0,0,0,0
New Brunswick ,2171 - Information systems analysts and consultants,2023,10,3,10,3,25
New Brunswick ,2172 - Database analysts and data administrators,2023,3,3,3,5,10
New Brunswick ,2173 - Software engineers and designers,2023,5,10,5,3,25
New Brunswick ,2174 - Computer programmers and interactive media developers,2023,0,3,3,0,3
New Brunswick ,2175 - Web designers and developers,2023,0,3,0,0,3
New Brunswick ,2281 - Computer network technicians,2023,0,3,3,0,3
New Brunswick ,2282 - User support technicians,2023,0,0,5,5,15
New Brunswick ,2283 - Information systems testing technicians,2023,0,0,3,0,3
New Brunswick ,2171 - Information systems analysts and consultants,2024,10,10,5,3,30
New Brunswick ,2172 - Database analysts and data administrators,2024,3,3,3,0,3
New Brunswick ,2173 - Software engineers and designers,2024,3,3,3,3,10
New Brunswick ,2174 - Computer programmers and interactive media developers,2024,0,3,3,0,5
New Brunswick ,2175 - Web designers and developers,2024,3,0,0,0,3
New Brunswick ,2281 - Computer network technicians,2024,3,3,3,0,5
New Brunswick ,2282 - User support technicians,2024,3,3,3,0,3
New Brunswick ,2283 - Information systems testing technicians,2024,3,0,0,0,3
Quebec ,2171 - Information systems analysts and consultants,2018,250,290,250,260,1015
Quebec ,2172 - Database analysts and data administrators,2018,15,25,20,15,80
Quebec ,2173 - Software engineers and designers,2018,95,120,95,100,400
Quebec ,2174 - Computer programmers and interactive media developers,2018,170,210,195,175,725
Quebec ,2175 - Web designers and developers,2018,65,65,55,35,215
Quebec ,2281 - Computer network technicians,2018,35,50,20,5,115
Quebec ,2282 - User support technicians,2018,5,10,20,15,45
Quebec ,2283 - Information systems testing technicians,2018,15,15,10,10,50
Quebec ,2171 - Information systems analysts and consultants,2019,285,360,350,290,1235
Quebec ,2172 - Database analysts and data administrators,2019,25,25,25,30,105
Quebec ,2173 - Software engineers and designers,2019,135,155,145,130,540
Quebec ,2174 - Computer programmers and interactive media developers,2019,225,285,235,240,960
Quebec ,2175 - Web designers and developers,2019,75,95,75,55,290
Quebec ,2281 - Computer network technicians,2019,25,60,20,30,125
Quebec ,2282 - User support technicians,2019,20,35,30,20,100
Quebec ,2283 - Information systems testing technicians,2019,15,10,25,20,65
Quebec ,2171 - Information systems analysts and consultants,2020,295,140,175,430,995
Quebec ,2172 - Database analysts and data administrators,2020,25,15,10,35,90
Quebec ,2173 - Software engineers and designers,2020,140,90,70,160,430
Quebec ,2174 - Computer programmers and interactive media developers,2020,245,155,155,425,940
Quebec ,2175 - Web designers and developers,2020,70,30,40,90,225
Quebec ,2281 - Computer network technicians,2020,35,15,15,35,100
Quebec ,2282 - User support technicians,2020,20,20,10,35,85
Quebec ,2283 - Information systems testing technicians,2020,15,10,10,25,55
Quebec ,2171 - Information systems analysts and consultants,2021,310,280,275,275,1100
Quebec ,2172 - Database analysts and data administrators,2021,40,25,25,25,115
Quebec ,2173 - Software engineers and designers,2021,155,130,135,140,545
Quebec ,2174 - Computer programmers and interactive media developers,2021,315,255,210,220,960
Quebec ,2175 - Web designers and developers,2021,75,65,60,60,250
Quebec ,2281 - Computer network technicians,2021,40,25,20,20,100
Quebec ,2282 - User support technicians,2021,30,20,10,15,75
Quebec ,2283 - Information systems testing technicians,2021,20,10,15,15,60
Quebec ,2171 - Information systems analysts and consultants,2022,270,250,245,240,980
Quebec ,2172 - Database analysts and data administrators,2022,25,30,35,25,110
Quebec ,2173 - Software engineers and designers,2022,150,160,155,150,610
Quebec ,2174 - Computer programmers and interactive media developers,2022,230,195,185,180,770
Quebec ,2175 - Web designers and developers,2022,70,50,65,40,220
Quebec ,2281 - Computer network technicians,2022,25,25,15,20,85
Quebec ,2282 - User support technicians,2022,20,10,15,3,45
Quebec ,2283 - Information systems testing technicians,2022,10,10,15,10,45
Quebec ,2171 - Information systems analysts and consultants,2023,205,160,150,125,625
Quebec ,2172 - Database analysts and data administrators,2023,45,35,35,20,130
Quebec ,2173 - Software engineers and designers,2023,125,95,95,75,380
Quebec ,2174 - Computer programmers and interactive media developers,2023,135,120,125,95,465
Quebec ,2175 - Web designers and developers,2023,45,30,30,20,120
Quebec ,2281 - Computer network technicians,2023,10,25,10,15,65
Quebec ,2282 - User support technicians,2023,10,10,5,10,35
Quebec ,2283 - Information systems testing technicians,2023,5,15,5,10,40
Quebec ,2171 - Information systems analysts and consultants,2024,180,180,130,70,550
Quebec ,2172 - Database analysts and data administrators,2024,40,45,20,10,115
Quebec ,2173 - Software engineers and designers,2024,110,85,90,30,315
Quebec ,2174 - Computer programmers and interactive media developers,2024,120,95,60,30,305
Quebec ,2175 - Web designers and developers,2024,30,30,25,10,90
Quebec ,2281 - Computer network technicians,2024,10,15,10,5,45
Quebec ,2282 - User support technicians,2024,10,10,15,5,40
Quebec ,2283 - Information systems testing technicians,2024,5,15,10,3,30
Ontario ,2171 - Information systems analysts and consultants,2018,705,730,690,710,2760
Ontario ,2172 - Database analysts and data administrators,2018,35,30,40,40,145
Ontario ,2173 - Software engineers and designers,2018,210,230,255,255,935
Ontario ,2174 - Computer programmers and interactive media developers,2018,570,605,780,745,2625
Ontario ,2175 - Web designers and developers,2018,5,10,5,5,25
Ontario ,2281 - Computer network technicians,2018,15,10,10,10,50
Ontario ,2282 - User support technicians,2018,20,20,15,5,55
Ontario ,2283 - Information systems testing technicians,2018,40,25,35,30,130
Ontario ,2171 - Information systems analysts and consultants,2019,840,795,715,795,3075
Ontario ,2172 - Database analysts and data administrators,2019,65,55,60,75,250
Ontario ,2173 - Software engineers and designers,2019,310,385,415,400,1470
Ontario ,2174 - Computer programmers and interactive media developers,2019,885,985,815,885,3460
Ontario ,2175 - Web designers and developers,2019,10,15,15,5,45
Ontario ,2281 - Computer network technicians,2019,10,10,15,15,50
Ontario ,2282 - User support technicians,2019,20,20,20,10,70
Ontario ,2283 - Information systems testing technicians,2019,40,30,45,40,150
Ontario ,2171 - Information systems analysts and consultants,2020,815,295,255,680,1950
Ontario ,2172 - Database analysts and data administrators,2020,50,30,15,45,135
Ontario ,2173 - Software engineers and designers,2020,400,170,190,410,1130
Ontario ,2174 - Computer programmers and interactive media developers,2020,850,425,460,1075,2610
Ontario ,2175 - Web designers and developers,2020,10,3,3,10,25
Ontario ,2281 - Computer network technicians,2020,10,15,15,5,40
Ontario ,2282 - User support technicians,2020,20,5,10,10,40
Ontario ,2283 - Information systems testing technicians,2020,30,20,20,35,100
Ontario ,2171 - Information systems analysts and consultants,2021,665,410,400,805,2225
Ontario ,2172 - Database analysts and data administrators,2021,105,35,65,60,255
Ontario ,2173 - Software engineers and designers,2021,550,420,455,655,2020
Ontario ,2174 - Computer programmers and interactive media developers,2021,1015,540,475,830,2800
Ontario ,2175 - Web designers and developers,2021,10,10,5,5,30
Ontario ,2281 - Computer network technicians,2021,20,15,10,15,55
Ontario ,2282 - User support technicians,2021,20,5,3,10,45
Ontario ,2283 - Information systems testing technicians,2021,40,15,20,40,110
Ontario ,2171 - Information systems analysts and consultants,2022,790,885,800,1035,3365
Ontario ,2172 - Database analysts and data administrators,2022,80,80,80,120,345
Ontario ,2173 - Software engineers and designers,2022,685,770,735,1010,3095
Ontario ,2174 - Computer programmers and interactive media developers,2022,850,835,805,960,3345
Ontario ,2175 - Web designers and developers,2022,10,10,20,15,55
Ontario ,2281 - Computer network technicians,2022,15,15,15,15,60
Ontario ,2282 - User support technicians,2022,10,10,15,20,55
Ontario ,2283 - Information systems testing technicians,2022,50,65,35,50,195
Ontario ,2171 - Information systems analysts and consultants,2023,810,925,840,720,3245
Ontario ,2172 - Database analysts and data administrators,2023,105,125,140,95,460
Ontario ,2173 - Software engineers and designers,2023,610,690,760,625,2645
Ontario ,2174 - Computer programmers and interactive media developers,2023,485,695,690,480,2305
Ontario ,2175 - Web designers and developers,2023,10,15,20,5,50
Ontario ,2281 - Computer network technicians,2023,10,15,10,10,45
Ontario ,2282 - User support technicians,2023,10,15,15,5,50
Ontario ,2283 - Information systems testing technicians,2023,30,40,25,25,120
Ontario ,2171 - Information systems analysts and consultants,2024,835,580,570,290,2245
Ontario ,2172 - Database analysts and data administrators,2024,145,90,85,40,360
Ontario ,2173 - Software engineers and designers,2024,710,450,450,205,1790
Ontario ,2174 - Computer programmers and interactive media developers,2024,545,395,350,200,1470
Ontario ,2175 - Web designers and developers,2024,20,20,15,10,65
Ontario ,2281 - Computer network technicians,2024,5,15,15,5,40
Ontario ,2282 - User support technicians,2024,15,25,25,10,75
Ontario ,2283 - Information systems testing technicians,2024,50,25,20,20,115
Manitoba ,2171 - Information systems analysts and consultants,2018,15,20,15,15,65
Manitoba ,2172 - Database analysts and data administrators,2018,0,0,3,3,3
Manitoba ,2173 - Software engineers and designers,2018,10,10,20,20,55
Manitoba ,2174 - Computer programmers and interactive media developers,2018,10,3,5,15,40
Manitoba ,2175 - Web designers and developers,2018,3,0,0,0,3
Manitoba ,2281 - Computer network technicians,2018,3,3,3,0,5
Manitoba ,2282 - User support technicians,2018,3,3,3,3,5
Manitoba ,2283 - Information systems testing technicians,2018,0,3,0,0,3
Manitoba ,2171 - Information systems analysts and consultants,2019,10,15,15,10,50
Manitoba ,2172 - Database analysts and data administrators,2019,3,0,0,0,3
Manitoba ,2173 - Software engineers and designers,2019,5,3,5,3,20
Manitoba ,2174 - Computer programmers and interactive media developers,2019,20,10,5,10,45
Manitoba ,2175 - Web designers and developers,2019,3,0,3,3,3
Manitoba ,2281 - Computer network technicians,2019,3,3,3,0,3
Manitoba ,2282 - User support technicians,2019,3,3,3,0,10
Manitoba ,2283 - Information systems testing technicians,2019,0,0,0,0,0
Manitoba ,2171 - Information systems analysts and consultants,2020,25,3,3,10,40
Manitoba ,2172 - Database analysts and data administrators,2020,3,0,0,0,3
Manitoba ,2173 - Software engineers and designers,2020,10,5,5,25,45
Manitoba ,2174 - Computer programmers and interactive media developers,2020,10,5,3,25,45
Manitoba ,2175 - Web designers and developers,2020,0,0,3,3,3
Manitoba ,2281 - Computer network technicians,2020,3,3,3,3,5
Manitoba ,2282 - User support technicians,2020,0,3,3,3,5
Manitoba ,2283 - Information systems testing technicians,2020,0,3,0,0,3
Manitoba ,2171 - Information systems analysts and consultants,2021,10,5,3,10,25
Manitoba ,2172 - Database analysts and data administrators,2021,0,0,0,0,0
Manitoba ,2173 - Software engineers and designers,2021,5,3,3,3,10
Manitoba ,2174 - Computer programmers and interactive media developers,2021,15,5,3,3,25
Manitoba ,2175 - Web designers and developers,2021,3,0,0,0,3
Manitoba ,2281 - Computer network technicians,2021,3,3,0,0,5
Manitoba ,2282 - User support technicians,2021,3,0,3,0,3
Manitoba ,2283 - Information systems testing technicians,2021,0,0,3,0,3
Manitoba ,2171 - Information systems analysts and consultants,2022,5,3,5,5,20
Manitoba ,2172 - Database analysts and data administrators,2022,0,0,3,3,3
Manitoba ,2173 - Software engineers and designers,2022,3,3,5,3,15
Manitoba ,2174 - Computer programmers and interactive media developers,2022,5,5,10,10,30
Manitoba ,2175 - Web designers and developers,2022,3,3,3,3,5
Manitoba ,2281 - Computer network technicians,2022,3,3,3,0,3
Manitoba ,2282 - User support technicians,2022,3,0,3,3,5
Manitoba ,2283 - Information systems testing technicians,2022,3,0,0,0,3
Manitoba ,2171 - Information systems analysts and consultants,2023,3,5,10,3,20
Manitoba ,2172 - Database analysts and data administrators,2023,3,0,3,3,5
Manitoba ,2173 - Software engineers and designers,2023,5,3,3,5,15
Manitoba ,2174 - Computer programmers and interactive media developers,2023,3,3,5,3,15
Manitoba ,2175 - Web designers and developers,2023,0,3,0,3,3
Manitoba ,2281 - Computer network technicians,2023,0,0,0,0,0
Manitoba ,2282 - User support technicians,2023,0,0,3,0,3
Manitoba ,2283 - Information systems testing technicians,2023,0,0,0,0,0
Manitoba ,2171 - Information systems analysts and consultants,2024,3,5,3,3,15
Manitoba ,2172 - Database analysts and data administrators,2024,3,0,0,3,3
Manitoba ,2173 - Software engineers and designers,2024,3,0,3,3,5
Manitoba ,2174 - Computer programmers and interactive media developers,2024,3,3,3,0,5
Manitoba ,2175 - Web designers and developers,2024,0,0,0,0,0
Manitoba ,2281 - Computer network technicians,2024,3,3,3,0,3
Manitoba ,2282 - User support technicians,2024,0,3,3,3,5
Manitoba ,2283 - Information systems testing technicians,2024,0,0,0,3,3
